Center,Model,ssp119_Variant,Grid,ssp119_Version,historical_Variant,historical_Version,piControl_Variant,piControl_Version
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,v20190328,r1i1p1f2,v20181206,r1i1p1f2,v20181115
CCCma,CanESM5,r1i1p1f1,gn,v20190429,r1i1p1f1,v20190429,r1i1p1f1,v20190429
EC-Earth-Consortium,EC-Earth3,r4i1p1f1,gn,v20200425,r4i1p1f1,v20200425,r1i1p1f1,v20200312
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,v20200226,r1i1p1f1,v20200225,r1i1p1f1,v20200226
NASA-GISS,GISS-E2-1-G,r1i1p1f2,gn,v20200115,r1i1p1f2,v20190903,r1i1p1f1,v20180824
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,v20190410,r1i1p1f1,v20180803,r1i1p1f1,v20200326
MRI,MRI-ESM2-0,r1i1p1f1,gm,v20200120,r1i1p1f1,v20191205,r1i1p1f1,v20191224
MOHC,UKESM1-0-LL,r1i1p1f2,gm,v20190830,r1i1p1f2,v20190815,r1i1p1f2,v20190827
